case_id,style_id,style_label,character_label,character_name,style_name,tier,role,limit_break,limit_break_max,計算_STR,計算_DEX,計算_WIS,計算_SPR,計算_LUK,計算_CON,サポート10%加算_STR,サポート10%加算_DEX,サポート10%加算_WIS,サポート10%加算_SPR,サポート10%加算_LUK,サポート10%加算_CON,実機_STR,実機_DEX,実機_WIS,実機_SPR,実機_LUK,実機_CON,差分_実機-計算_STR,差分_実機-計算_DEX,差分_実機-計算_WIS,差分_実機-計算_SPR,差分_実機-計算_LUK,差分_実機-計算_CON,比較結果,計算前提,実機確認メモ,生成日
1001101-LB0,1001101,RKayamori01,RKayamori,茅森 月歌,Attack or Music,A,Attacker,0,20,299,279,293,298,243,256,30,28,30,30,25,26,,,,,,,"=IF(W2="""","""",W2-K2)","=IF(X2="""","""",X2-L2)","=IF(Y2="""","""",Y2-M2)","=IF(Z2="""","""",Z2-N2)","=IF(AA2="""","""",AA2-O2)","=IF(AB2="""","""",AB2-P2)","=IF(COUNTA(W2:AB2)=0,""未入力"",IF(COUNTA(W2:AB2)<6,""一部入力"",IF(COUNTIF(AC2:AH2,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001101-LB20,1001101,RKayamori01,RKayamori,茅森 月歌,Attack or Music,A,Attacker,20,20,346,323,338,343,286,302,35,33,34,35,29,31,,,,,,,"=IF(W3="""","""",W3-K3)","=IF(X3="""","""",X3-L3)","=IF(Y3="""","""",Y3-M3)","=IF(Z3="""","""",Z3-N3)","=IF(AA3="""","""",AA3-O3)","=IF(AB3="""","""",AB3-P3)","=IF(COUNTA(W3:AB3)=0,""未入力"",IF(COUNTA(W3:AB3)<6,""一部入力"",IF(COUNTIF(AC3:AH3,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001102-LB0,1001102,RKayamori02,RKayamori,茅森 月歌,戦場のフレット,S,Attacker,0,10,327,347,321,314,345,329,33,35,33,32,35,33,,,,,,,"=IF(W4="""","""",W4-K4)","=IF(X4="""","""",X4-L4)","=IF(Y4="""","""",Y4-M4)","=IF(Z4="""","""",Z4-N4)","=IF(AA4="""","""",AA4-O4)","=IF(AB4="""","""",AB4-P4)","=IF(COUNTA(W4:AB4)=0,""未入力"",IF(COUNTA(W4:AB4)<6,""一部入力"",IF(COUNTIF(AC4:AH4,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001102-LB10,1001102,RKayamori02,RKayamori,茅森 月歌,戦場のフレット,S,Attacker,10,10,397,416,388,381,410,398,40,42,39,39,41,40,,,,,,,"=IF(W5="""","""",W5-K5)","=IF(X5="""","""",X5-L5)","=IF(Y5="""","""",Y5-M5)","=IF(Z5="""","""",Z5-N5)","=IF(AA5="""","""",AA5-O5)","=IF(AB5="""","""",AB5-P5)","=IF(COUNTA(W5:AB5)=0,""未入力"",IF(COUNTA(W5:AB5)<6,""一部入力"",IF(COUNTIF(AC5:AH5,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001103-LB0,1001103,RKayamori03,RKayamori,茅森 月歌,閃光のサーキットバースト,SS,Attacker,0,4,427,331,357,375,383,370,43,34,36,38,39,37,,,,,,,"=IF(W6="""","""",W6-K6)","=IF(X6="""","""",X6-L6)","=IF(Y6="""","""",Y6-M6)","=IF(Z6="""","""",Z6-N6)","=IF(AA6="""","""",AA6-O6)","=IF(AB6="""","""",AB6-P6)","=IF(COUNTA(W6:AB6)=0,""未入力"",IF(COUNTA(W6:AB6)<6,""一部入力"",IF(COUNTIF(AC6:AH6,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001103-LB4,1001103,RKayamori03,RKayamori,茅森 月歌,閃光のサーキットバースト,SS,Attacker,4,4,465,366,393,411,418,407,47,37,40,42,42,41,,,,,,,"=IF(W7="""","""",W7-K7)","=IF(X7="""","""",X7-L7)","=IF(Y7="""","""",Y7-M7)","=IF(Z7="""","""",Z7-N7)","=IF(AA7="""","""",AA7-O7)","=IF(AB7="""","""",AB7-P7)","=IF(COUNTA(W7:AB7)=0,""未入力"",IF(COUNTA(W7:AB7)<6,""一部入力"",IF(COUNTIF(AC7:AH7,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001104-LB0,1001104,RKayamori04,RKayamori,茅森 月歌,黎明のエモーショナル・ソウル,SS,Attacker,0,4,439,342,368,386,372,404,44,35,37,39,38,41,,,,,,,"=IF(W8="""","""",W8-K8)","=IF(X8="""","""",X8-L8)","=IF(Y8="""","""",Y8-M8)","=IF(Z8="""","""",Z8-N8)","=IF(AA8="""","""",AA8-O8)","=IF(AB8="""","""",AB8-P8)","=IF(COUNTA(W8:AB8)=0,""未入力"",IF(COUNTA(W8:AB8)<6,""一部入力"",IF(COUNTIF(AC8:AH8,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001104-LB4,1001104,RKayamori04,RKayamori,茅森 月歌,黎明のエモーショナル・ソウル,SS,Attacker,4,4,533,430,457,476,459,495,54,43,46,48,46,50,,,,,,,"=IF(W9="""","""",W9-K9)","=IF(X9="""","""",X9-L9)","=IF(Y9="""","""",Y9-M9)","=IF(Z9="""","""",Z9-N9)","=IF(AA9="""","""",AA9-O9)","=IF(AB9="""","""",AB9-P9)","=IF(COUNTA(W9:AB9)=0,""未入力"",IF(COUNTA(W9:AB9)<6,""一部入力"",IF(COUNTIF(AC9:AH9,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001105-LB0,1001105,RKayamori05,RKayamori,茅森 月歌,残響のカルディナル,SS,Attacker,0,4,462,364,391,409,394,427,47,37,40,41,40,43,,,,,,,"=IF(W10="""","""",W10-K10)","=IF(X10="""","""",X10-L10)","=IF(Y10="""","""",Y10-M10)","=IF(Z10="""","""",Z10-N10)","=IF(AA10="""","""",AA10-O10)","=IF(AB10="""","""",AB10-P10)","=IF(COUNTA(W10:AB10)=0,""未入力"",IF(COUNTA(W10:AB10)<6,""一部入力"",IF(COUNTIF(AC10:AH10,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
1001105-LB4,1001105,RKayamori05,RKayamori,茅森 月歌,残響のカルディナル,SS,Attacker,4,4,556,452,479,499,480,518,56,46,48,50,48,52,,,,,,,"=IF(W11="""","""",W11-K11)","=IF(X11="""","""",X11-L11)","=IF(Y11="""","""",Y11-M11)","=IF(Z11="""","""",Z11-N11)","=IF(AA11="""","""",AA11-O11)","=IF(AB11="""","""",AB11-P11)","=IF(COUNTA(W11:AB11)=0,""未入力"",IF(COUNTA(W11:AB11)<6,""一部入力"",IF(COUNTIF(AC11:AH11,0)=6,""一致"",""差分あり"")))",Lv200・転生5回・能力ボード最大・宝珠最大・装備なし。未選択の同キャラスタイルは完凸。Partyで選択した同キャラスタイルのLB上書きは組合せ依存のため本CSV外。,,2026-06-29
